"Entry ID","Lemma ID","Batch","List","Item","English Word Frequency","Frequency","Frequency SD","Frequency Z","Frequency N","Frequency (Native)","Frequency Sd (Native)","Frequency Z (Native)","Frequency N (Native)","Frequency (Nonnative)","Frequency SD (Nonnative)","Frequency N (Nonnative)","Frequency Z (Nonnative)","Dominant English Translation","Sign Unknown (%)","English Translation Agreement (%)","Unknown To Participant (%) (Native)","English Name Agreement (%) (Native)","Unknown To Participant (%) (Nonnative)","English Name Agreement (%) (Nonnative)","Non-Signer Iconicity","Non-Signer Iconicity SD","Non-Signer Iconicity Z","Non-Signer Iconicity N","Non-Signer Iconicity SD","Iconicity Type","Deaf Signer Iconicity","Deaf Signer Iconicity SD (Native)","Deaf Signer Iconicity N","Deaf Signer Iconicity Z","Deaf Signer Iconicity (Native)","Deaf Signer Iconicity SD (Native)","Deaf Signer Iconicity Z (Native)","Deaf Signer Iconicity N (Native)","English Translation Agreement","Guess accuracy","Transparency","Transparency SD","Transparency Z","Lexical Class","Sign Onset (ms)","Sign Offset (ms)","Duration (ms)","Video Length (ms)","In CDI","CDI Semantic Category","Initialized Sign","Fingerspelled Loan Sign","Compound","Number Of Morphemes","Handshape","Selected Fingers","Flexion","Flexion Change","Spread Change","Thumb Position","Thumb Contact","Sign Type","Path Movement","Repeated Movement","Major Location","Minor Location","Second Minor Location","Contact","Nondominant Handshape","Wrist Twist","Handshape M2","Selected Fingers M2","Flexion M2","Flexion Change M2","Spread M2","Spread Change M2","Thumb Position M2","Thumb Contact M2","Sign Type M2","Movement M2","Repeated Movement M2","Major Location M2","Minor Location M2","Second Minor Location M2","Contact M2","Nondominant Handshape M2","Wrist Twist M2","Handshape M3","Selected Fingers M3","Flexion M3","Flexion Change M3","Spread M3","Spread Change M3","Thumb Position M3","Thumb Contact M3","Signtype M3","Movement M3","Repeated Movement M3","Major Location M3","Minor Location M3","Second Minor Location M3","Contact M3","Nondominant Handshape M3","Wrist Twist M3","Handshape M4","Selected Fingers M4","Flexion M4","Flexion Change M4","Spread M4","Spread Change M4","Thumb Position M4","Thumb Contact M4","Sign Type M4","Movement M4","Repeated Movement M4","Major Location M4","Minor Location M4","Second Minor Location M4","Contact M4","Nondominant Handshape M4","Wrist Twist M4","Handshape M5","Selected Fingers M5","Flexion M5","Flexion Change M5","Spread M5","Spread Change M5","Thumb Position M5","Thumb Contact M5","Signtype M5","Movement M5","Repeated Movement M5","Major Location M5","Minor Location M5","Second Minor Location M5","Contact M5","Nondominant Handshape M5","Wrist Twist M5","Handshape M6","Selected Fingers M6","Flexion M6","Flexion Change M6","Spread M6","Spread Change M6","Thumb Position M6","Thumb Contact M6","Sign Type M6","Movement M6","Repeated Movement M6","Major Location M6","Minor Location M6","Second Minor Location M6","Contact M6","Nondominant Handshape M6","Wrist Twist M6","Sign Type Frequency","Major Location Frequency","Minor Location Frequency","Second Minor Location Frequency","Movement Frequency","Selected Fingers Frequency","Flexion Frequency","Flexion Change Frequency","Repeated Movement Frequency","Contact Frequency","Spread Frequency","Spread Change Frequency","Thumb Contact Frequency","Thumb Position Frequency","Ulnar Rotatio Nfrequency","Phonotactic Probability","Parameter Neighborhood Density","Neighborhood Density","SignBank Reference ID","Age Of Acquisition","Age Of Acquisition (Empirical)"
"shoot_1","shoot","J","1","24","3.925","3.133","2.255","-0.627","30","2.733","2.344","-0.871","15","3.533","2.167","15","-0.384","null","null","null","null","null","null","null","6.625","1.245","1.71","24","null","Pantomimic","null","null","null","null","null","null","null","null","null","null","null","null","null","Verb","667","1335","667","1835","No","null","null","null","null","1","l","i","Fully Open","null","null","Open","null","Symmetry Violation","Curved","null","Neutral","Neutral","Neutral","null","Symmetry Violation","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.006","0.363","0.363","0.426","0.233","0.261","0.409","0.791","0.554","0.378","null","null","0.684","0.657","0.836","0.107","263","null","null","null","null"
"shoot_2","shoot_2","K","null","null","3.925","4.091","1.849","-0.128","25","3.778","1.922","0.093","11","4.308","1.843","14","-0.281","null","0.12","null","0.182","null","0.071","null","4.458","1.769","0.433","24","SHOOT GUN","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Verb","567","1034","467","1768","No","null","null","null","null","1","baby_o","i","Bent","null","null","Open","1","Symmetrical Or Alternating","Curved","null","Neutral","Neutral","Neutral","null","baby_o","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.363","0.363","0.426","0.233","0.261","0.099","0.791","0.554","0.378","null","null","0.316","0.657","0.836","0.05","290","5","null","null","null"
"shooting","shooting","F","1","49","3.458","3.593","1.907","-0.341","27","4.071","1.817","-0.093","14","3.077","1.935","13","-0.608","null","null","null","null","null","null","null","6.667","0.777","1.395","33","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Verb","467","1168","701","1702","No","null","null","null","null","1","l","i","Fully Open","null","null","Open","null","Symmetrical Or Alternating","Z-shaped","null","Neutral","Neutral","Neutral","null","l","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.363","0.363","0.426","0.034","0.261","0.409","0.791","0.554","0.378","null","null","0.684","0.657","0.836","0.226","62","null","null","null","null"
"shop_1","shop_1","C","3","75","3.436","5.067","1.437","0.456","30","5.5","1.295","0.568","18","4.417","1.443","12","0.289","null","null","null","null","null","null","null","2.314","1.451","-0.323","35","null","Arbitrary","2.97","1.75","30","0.05","2.95","1.88","null","21","2.77","null","3.45","2.01","-0.05","Verb","634","1268","634","2002","Yes","Action Signs","null","null","null","1","flat_o","imrp","Flat","null","null","Open","1","Asymmetrical Different Handshape","Z-shaped","null","Hand","Palm","Hand Away","1","B","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.175","0.25","0.077","0.155","0.034","0.449","0.162","0.791","0.554","0.622","0.602","0.878","0.316","0.657","0.836","0.09","36","3","2573","42","19"
"shop_2","shop_2","D","3","58","3.436","6.231","1.07","1.174","26","6.438","0.814","1.255","16","5.9","1.37","10","1.045","null","null","null","null","null","null","null","1.5","0.859","-0.749","22","null","Arbitrary","1.5","0.71","26","-0.81","1.56","0.71","-0.75","18","null","null","null","null","null","Noun","567","1468","901","2069","No","null","null","null","null","1","flat_o","imrp","Flat","null","null","Open","1","Symmetrical Or Alternating","Curved","1","Neutral","Neutral","Neutral","null","flat_o","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.363","0.363","0.426","0.233","0.449","0.162","0.791","0.446","0.378","0.602","0.878","0.316","0.657","0.164","0.131","258","1","1039","null","null"
"short_distance","short_distance","H","1","49","null","5.036","1.688","0.52","28","4.857","1.834","0.432","14","5.214","1.578","14","0.607","short_distance","null","0.607","null","0.571","null","0.643","2.75","1.888","-0.256","20","short distance","Arbitrary","null","null","null","null","null","null","null","null","null","null","null","null","null","Noun","601","1101","501","1702","No","null","null","null","null","1","f","i","Curved","null","null","Open","1","One Handed","Curved","null","Head","Cheek Nose","Head Away","1","null","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.266","0.035","0.178","0.233","0.261","0.225","0.791","0.554","0.622","null","null","0.316","0.657","0.164","-0.21","160","1","253","null","null"
"short_person","short_person","H","2","92","null","3.821","1.634","-0.222","28","3.714","1.858","-0.268","14","3.929","1.439","14","-0.177","short_person","null","0.643","null","0.643","null","0.643","4.875","1.513","0.906","24","short","Perceptual","null","null","null","null","null","null","null","null","null","null","null","null","null","Noun","501","1435","934","1502","No","null","null","null","null","1","flat_b","imrp","Flat","null","null","Open","null","One Handed","Straight","null","Neutral","Neutral","Neutral","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.363","0.363","0.426","0.457","0.449","0.162","0.791","0.554","0.378","0.602","0.878","0.684","0.657","0.836","0.682","486","9","262","null","null"
"short_word","short_word","J","2","87","null","2.263","1.485","-1.141","30","2.444","1.236","-1.051","15","2.1","1.729","15","-1.221","short_word","0.367","0.421","0.4","0.444","0.333","0.4","4.52","1.503","0.657","25","short word","Perceptual","null","null","null","null","null","null","null","null","null","null","null","null","null","Noun","567","1435","868","1969","No","null","null","null","null","1","h","im","Fully Open","null","null","Closed","null","Symmetrical Or Alternating","Straight","null","Neutral","Neutral","Neutral","null","h","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.363","0.363","0.426","0.457","0.14","0.409","0.791","0.554","0.378","0.602","0.878","0.684","0.343","0.836","0.495","473","1","1041","null","null"
"shorts","shorts","A","1","37","2.682","4.1","1.668","0.048","30","4.167","1.689","0.151","18","4","1.706","13","-0.106","null","null","null","null","null","0.077","null","3.686","1.811","0.241","35","null","Arbitrary","4.81","1.35","31","0.76","4.79","1.36","0.77","19","null","null","null","null","null","Noun","234","1268","1034","1435","Yes","Clothing","null","null","null","1","open_b","imrp","Fully Open","null","null","Open","null","Symmetrical Or Alternating","Curved","1","Body","Other","Body Away","null","open_b","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.094","0.025","0.045","0.233","0.449","0.409","0.791","0.446","0.378","0.602","0.878","0.684","0.657","0.164","-0.128","168","1","1042","33","23"
"shot","shot","E","1","13","4.064","3.743","2.02","-0.305","35","3.8","1.821","-0.276","15","3.7","2.203","20","-0.327","null","null","null","null","null","null","null","4.769","1.925","0.532","26","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Verb","434","934","501","1568","No","null","null","null","null","1","a","t","null","1","null","Open","null","One Handed","Straight","null","Arm","Upper Arm","null","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.026","0.005","null","0.457","0.057","null","0.209","0.554","0.622","null","null","null","0.657","0.836","-0.626","107","1","2968","null","null"
"should","should","G","2","79","4.734","6.111","0.934","1.036","27","6.25","0.965","1.159","12","6","0.926","15","0.937","null","null","null","null","null","null","null","1.875","1.385","-0.787","32","null","Arbitrary","null","null","null","null","null","null","null","null","null","null","null","null","null","Verb","467","1201","734","1668","No","null","null","null","null","1","bent_1","i","Bent","null","null","Closed","null","One Handed","Straight","1","Neutral","Neutral","Neutral","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.363","0.363","0.426","0.457","0.261","0.099","0.791","0.446","0.378","null","null","0.684","0.343","0.836","0.013","475","6","194","null","null"
"shoulder","shoulder","A","2","55","3.126","3.704","1.66","-0.084","27","4","1.354","0.079","13","3.429","1.91","14","-0.235","null","null","null","null","null","null","null","6.7","0.651","1.765","30","null","Pantomimic","4.97","1.91","31","0.82","5","1.89","0.85","19","null","null","null","null","null","Noun","467","1301","834","1301","Yes","Body Parts","null","null","null","1","flat_b","imrp","Flat","null","null","Open","null","One Handed","Straight","1","Body","Shoulder","null","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.094","0.008","null","0.457","0.449","0.162","0.791","0.446","0.622","0.602","0.878","0.684","0.657","0.836","0.173","165","3","1044","46","23"
"shoulder_2","shoulder_2","K","null","null","3.126","3.92","1.824","-0.114","25","3.182","1.168","-0.305","11","4.5","2.066","14","0.035","null","null","null","null","null","null","null","6.6","1.041","1.259","25","SHOULDER","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Noun","567","1401","834","1969","No","null","null","null","null","1","flat_1","i","Flat","null","null","Closed","null","One Handed","Straight","1","Body","Shoulder","null","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.094","0.008","null","0.457","0.261","0.162","0.791","0.446","0.622","null","null","0.684","0.343","0.836","-0.333","129","null","null","null","null"
"shoulder_3","shoulder_3","K","null","null","3.126","4.4","1.979","0.135","27","3.5","1.581","-0.039","11","5","2.035","16","0.251","null","0.074","null","0.091","null","0.063","null","6.24","1.363","1.306","25","SHOULDER","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Noun","634","1502","868","2135","No","null","null","null","null","1","5","imrp","Fully Open","null","null","Open","null","One Handed","Straight","1","Body","Shoulder","null","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.094","0.008","null","0.457","0.449","0.409","0.791","0.446","0.622","0.398","0.878","0.684","0.657","0.836","0.237","177","8","1044","null","null"
"shout_1","shout","J","3","5","2.924","4.034","1.523","-0.069","29","4.067","1.624","-0.094","15","4","1.468","14","-0.042","null","null","null","null","null","null","null","4.87","1.66","1.15","23","null","Both","null","null","null","null","null","null","null","null","null","null","null","null","null","Verb","534","1001","467","1502","No","null","null","null","null","1","curved_5","imrp","Curved","null","null","Open","null","One Handed","Straight","null","Head","Mouth","Head Away","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.266","0.046","0.178","0.457","0.449","0.225","0.791","0.554","0.622","0.398","0.878","0.684","0.657","0.836","0.499","380","4","598","null","null"
"shout_2","shout_2","K","null","null","2.924","3.9","2.024","-0.185","25","2.75","1.389","-0.436","11","4.667","2.06","14","-0.017","null","0.2","null","0.273","null","0.143","null","2.917","1.742","-0.336","24","SHOUT","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Verb","601","1168","567","1869","No","null","null","null","null","1","curved_v","im","Curved","null","null","Open","null","One Handed","Straight","null","Head","Mouth","Head Away","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.266","0.046","0.178","0.457","0.14","0.225","0.791","0.554","0.622","0.398","0.878","0.684","0.657","0.836","0.365","324","2","598","null","null"
"shovel","shovel","A","1","88","2.544","3.167","1.783","-0.453","30","2.882","1.409","-0.557","17","3.538","2.184","13","-0.316","null","null","null","null","null","null","null","6.314","1.105","1.518","35","null","Pantomimic","5.32","1.51","31","1","5.26","1.63","1","19","null","null","null","null","null","Noun","234","1068","834","1568","Yes","Action Signs","null","null","null","1","s","imrp","Fully Closed","null","null","Closed","1","Symmetrical Or Alternating","Curved","1","Neutral","Neutral","Neutral","null","s","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.363","0.363","0.426","0.233","0.449","0.067","0.791","0.446","0.378","null","0.878","0.316","0.343","0.836","-0.022","321","14","815","44","34"
"shovel_2","shovel_2","K","null","null","2.544","2.609","1.438","-0.888","25","2","0.775","-0.964","11","3.167","1.697","14","-0.818","null","0.08","null","null","null","0.143","null","4.88","1.269","0.447","25","SHOVEL","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Noun","534","1869","1335","2569","No","null","null","null","null","1","flat_b","imrp","Flat","1","null","Open","null","Asymmetrical Different Handshape","Curved","1","Hand","Palm","Hand Away","1","B","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.175","0.25","0.077","0.155","0.233","0.449","0.162","0.209","0.446","0.622","0.602","0.878","0.684","0.657","0.836","0.018","203","null","null","null","null"
"show","show","C","1","50","4.396","5.333","1.446","0.485","30","5.667","1.138","0.596","18","4.833","1.749","12","0.318","null","null","null","null","null","null","null","2.5","1.592","-0.19","30","null","Arbitrary","2.7","1.37","30","-0.06","2.71","1.52","-0.1","21","2.06","null","3.95","1.79","0.34","Verb","467","968","501","1869","Yes","Action Signs","null","null","null","1","1","i","Fully Open","null","null","Closed","null","Asymmetrical Different Handshape","Straight","null","Hand","Palm","null","1","B","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.175","0.25","0.077","null","0.457","0.261","0.409","0.791","0.554","0.622","null","null","0.684","0.343","0.836","-0.067","446","20","254","42","35"
"shower","shower","A","2","1","3.322","5.593","1.6","0.959","27","5.769","1.166","1.033","13","5.429","1.95","14","0.889","null","null","null","null","null","null","null","5.367","1.426","1.085","30","null","Both","5.48","1.26","31","1.1","5.21","1.32","0.98","19","null","null","null","null","null","Noun","434","1001","567","1201","Yes","Action Signs","null","null","null","1","s","imrp","Fully Closed","1","1","Closed","1","One Handed","None","1","Head","Head Away","Head Away","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.266","0.066","0.178","0.153","0.449","0.067","0.209","0.446","0.378","null","0.122","0.316","0.343","0.836","-0.573","246","null","340","29","23"
"shrimp","shrimp","A","1","65","2.648","3.357","1.638","-0.348","28","3.333","1.447","-0.321","15","3.385","1.895","13","-0.379","null","0.097","null","0.167","null","null","null","2.351","1.317","-0.401","37","null","Arbitrary","2.8","1.73","31","-0.26","2.72","1.64","-0.25","19","null","null","null","null","null","Noun","467","1602","1134","1969","No","null","null","null","null","1","1","i","Fully Open","1","null","Closed","null","One Handed","Straight","1","Neutral","Neutral","Neutral","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.363","0.363","0.426","0.457","0.261","0.409","0.209","0.446","0.378","null","null","0.684","0.343","0.836","0.02","563","7","3109","null","null"
"shut_out","shut_out","G","3","26","null","5.148","1.322","0.474","27","5","1.128","0.421","12","5.267","1.486","15","0.517","null","null","null","null","null","null","null","4.35","1.599","0.535","20","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Verb","300","667","367","1535","No","null","null","null","null","1","closed_b","imrp","Fully Open","null","null","Closed","null","Symmetrical Or Alternating","Curved","null","Neutral","Neutral","Neutral","1","closed_b","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.363","0.363","0.426","0.233","0.449","0.409","0.791","0.554","0.622","0.602","0.878","0.684","0.343","0.164","0.492","277","6","null","null","null"
"shy","shy","B","1","40","2.972","3.88","1.691","-0.449","25","3.929","1.639","-0.402","14","3.818","1.834","11","-0.508","null","null","null","null","null","null","null","2.111","1.121","-0.361","27","null","Arbitrary","2.26","1.32","31","-0.31","2.23","1.41","-0.28","22","2.65","null","3.15","1.73","-0.25","Adjective","534","868","334","1602","No","null","null","null","null","1","c","imrp","Curved","null","null","Open","null","One Handed","None","null","Head","Cheek Nose","null","1","null","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.266","0.035","null","0.153","0.449","0.225","0.791","0.554","0.622","0.602","0.878","0.684","0.657","0.164","0.172","237","null","1046","null","null"
"sick","sick","B","1","72","3.926","5.32","1.345","0.4","25","5.357","1.393","0.422","14","5.273","1.348","11","0.373","null","null","null","null","null","null","null","3.692","2.035","0.374","26","null","Arbitrary","2.71","1.51","31","-0.1","2.64","1.36","-0.11","22","2.27","0.211","3.53","1.61","-0.32","Adjective","601","868","267","1535","Yes","Descriptive Signs","null","null","null","1","open_8","m","Flat","null","null","Open","null","Symmetrical Or Alternating","Straight","null","Head","Forehead","null","1","open_8","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.266","0.039","null","0.457","0.045","0.162","0.791","0.554","0.622","null","null","0.684","0.657","0.836","-0.036","337","3","255","30","28"
"side","side","J","3","55","4.011","4","1.558","-0.117","29","4.467","1.552","0.064","15","3.5","1.454","14","-0.311","null","null","null","null","null","null","null","4.826","1.85","1.075","23","null","Both","null","null","null","null","null","null","null","null","null","null","null","null","null","Adjective","467","1335","868","1902","No","null","null","null","null","1","open_b","imrp","Fully Open","null","null","Open","null","One Handed","Straight","null","Body","Body Away","Body Away","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.094","0.016","0.045","0.457","0.449","0.409","0.791","0.554","0.378","0.602","0.878","0.684","0.657","0.836","0.304","215","4","1049","null","null"
"sideburns","sideburns","F","1","87","1.778","1.542","0.932","-1.523","27","1.25","0.452","-1.687","14","1.833","1.193","13","-1.359","null","0.111","null","0.143","null","0.077","null","5.667","1.708","0.916","33","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Noun","567","1468","901","2069","No","null","null","null","null","1","g","i","Flat","1","null","Open","1","Symmetrical Or Alternating","Straight","null","Head","Cheek Nose","Cheek Nose","1","g","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.266","0.035","0.008","0.457","0.261","0.162","0.209","0.554","0.622","null","null","0.316","0.657","0.836","-0.194","336","2","null","null","null"
